temp,label
72.99920117,
72.92198047,
72.92198047,
72.92198047,
72.84475977,
72.92198047,
72.84475977,
72.76753906,
72.76753906,
72.76753906,
72.76753906,
72.76753906,
72.69031836,
72.69031836,
72.69031836,
72.61309766,
72.69031836,
72.61309766,
72.61309766,
72.61309766,
72.53587695,
72.45865625,
72.45865625,
72.45865625,
72.53587695,
72.45865625,
72.45865625,
72.38143555,
72.38143555,
72.38143555,
72.30421484,
72.38143555,
72.38143555,
72.38143555,
72.30421484,
72.38143555,
72.30421484,
72.30421484,
72.30421484,
72.22699414,
72.22699414,
72.14977344,
72.22699414,
72.14977344,
72.07255273,
72.07255273,
72.14977344,
72.07255273,
72.14977344,
72.07255273,
72.07255273,
72.07255273,
72.07255273,
71.99533203,
71.99533203,
71.99533203,
71.99533203,
71.99533203,
71.99533203,
71.99533203,
71.91811133,
71.99533203,
71.91811133,
71.91811133,
71.91811133,
71.91811133,
71.91811133,
71.91811133,
71.84089063,
71.84089063,
71.84089063,
71.91811133,
71.84089063,
71.84089063,
71.76366992,
71.84089063,
71.76366992,
71.84089063,
71.76366992,
71.68644922,
71.76366992,
71.68644922,
71.68644922,
71.68644922,
71.68644922,
71.60922852,
71.68644922,
71.68644922,
71.68644922,
71.68644922,
71.68644922,
71.53200781,
71.60922852,
71.60922852,
71.60922852,
71.60922852,
71.60922852,
71.60922852,
71.60922852,
71.60922852,
71.60922852,
71.60922852,
71.53200781,
71.53200781,
71.60922852,
71.60922852,
71.60922852,
71.68644922,
71.68644922,
71.68644922,
71.68644922,
71.68644922,
71.60922852,
71.68644922,
71.68644922,
71.60922852,
71.68644922,
71.60922852,
71.68644922,
71.68644922,
71.68644922,
71.76366992,
71.60922852,
71.76366992,
71.76366992,
71.68644922,
71.76366992,
71.76366992,
71.68644922,
71.68644922,
71.76366992,
71.84089063,
71.76366992,
71.76366992,
71.76366992,
71.76366992,
71.76366992,
71.68644922,
71.76366992,
71.76366992,
71.76366992,
71.84089063,
71.76366992,
71.76366992,
71.84089063,
71.84089063,
71.76366992,
71.76366992,
71.84089063,
71.76366992,
71.76366992,
71.76366992,
71.76366992,
71.68644922,
71.68644922,
71.76366992,
71.68644922,
71.76366992,
71.76366992,
71.76366992,
71.68644922,
71.68644922,
71.68644922,
